# buildings_simplified.csv -- one row per building, frame: SUMO local (m)
# name, cx, cy, sx, sy, sz, yaw_deg
bld_B354541907601063C0,     667.54,     894.95,   69.25,   19.28,  20.87,   -81.48
bld_B354551884101063C0,     665.10,     660.21,   17.68,   10.81,  60.46,    75.29
bld_B354561864401063C0,     663.15,     464.06,   26.70,   15.98,  35.53,    75.50
bld_B354561870901063C0,     662.70,     528.92,   14.48,   11.05,  18.69,   -14.32
bld_B354561884102063C0,     666.37,     661.09,   27.60,   13.22,  16.18,    74.51
bld_B354581872201063C0,     665.36,     541.50,   16.18,   14.61,  36.25,    75.14
bld_B354601887001063C0,     670.66,     686.91,   14.52,    9.90,  61.97,    75.27
bld_B354611866901063C0,     669.16,     486.85,   15.99,    6.08,  27.55,   -14.43
bld_B354621874101063C0,     666.27,     560.56,    7.85,    4.77,  36.91,   -15.10
bld_B354621886502063C0,     672.31,     684.47,   21.05,   14.82,  11.31,    75.40
bld_B354631867401063C0,     670.37,     492.21,   16.31,    5.10,  27.55,   -14.45
bld_B354641867901063C0,     671.79,     497.11,   15.34,    5.25,  32.63,   -14.93
bld_B354641874601063C0,     671.05,     564.62,   15.15,    5.59,  36.91,   -15.10
bld_B354641894901063C0,     674.80,     767.46,   17.77,    5.63,   9.95,    75.42
bld_B354651868401063C0,     673.07,     502.28,   15.46,    5.40,  32.63,   -14.94
bld_B354651896101063C0,     678.07,     778.34,    7.67,    5.13,   8.20,     2.66
bld_B354661874101063C0,     673.03,     557.96,    6.78,    6.28,  36.91,   -15.25
bld_B354661875101063C0,     672.10,     569.76,   14.60,    5.29,  35.25,   -14.91
bld_B354671875601063C0,     673.43,     574.79,   14.62,    5.13,  35.25,   -14.92
bld_B354681910101063C0,     686.63,     920.61,   20.65,    5.12,  35.79,     9.15
bld_B354681911501063C0,     684.91,     934.30,   20.87,    5.20,  27.92,     7.92
bld_B354681911901063C0,     683.83,     940.05,   21.13,    7.46,  26.47,     8.51
